tournament,match_id,match_date,stage,referee,team,opponent,box_touches,box_entries,fouls_won_final3,def_box_contests,pens_for,pens_against,shots,xg,passes,fouls_won,fouls_committed,yellows,reds,duels,touches_final3,fouls_won_dzone,fk_shots,fk_xg,pen_xg
Copa2024,3939974,2024-06-23,Group Stage,Maurizio Mariani,United States,Bolivia,81,29,4,6,0,0,20,2.4046838079999997,581,17,11,1,0,31,464,2,0,0.0,0.0
Copa2024,3939986,2024-06-30,Group Stage,César Arturo Ramos Palazuelos,Peru,Argentina,22,8,3,15,0,1,7,0.1666223537,250,14,24,5,0,28,165,0,0,0.0,0.0
Copa2024,3939986,2024-06-30,Group Stage,César Arturo Ramos Palazuelos,Argentina,Peru,35,13,4,19,1,0,11,1.322276813,667,21,14,1,0,35,260,0,1,0.03344981,0.7835
Copa2024,3939971,2024-06-23,Group Stage,Ismail Elfath,Jamaica,Mexico,32,13,3,36,0,0,13,0.5061592739999999,375,8,7,0,0,45,235,2,1,0.051838364,0.0
Copa2024,3939971,2024-06-23,Group Stage,Ismail Elfath,Mexico,Jamaica,59,25,2,29,0,0,20,1.1360803270000002,565,7,8,0,0,35,419,0,1,0.025718551,0.0
Copa2024,3939979,2024-06-27,Group Stage,Raphael Claus,Mexico,Venezuela,71,25,1,8,1,1,17,1.600822616,530,10,16,2,0,42,419,0,0,0.0,0.7835
Copa2024,3939979,2024-06-27,Group Stage,Raphael Claus,Venezuela,Mexico,24,10,2,39,1,1,9,0.35514079200000004,359,15,12,2,0,39,230,0,0,0.0,0.7835
Copa2024,3939988,2024-07-01,Group Stage,Mario Alberto Escobar Toca,Ecuador,Mexico,38,13,5,52,0,0,9,0.30584925900000004,319,17,12,2,0,55,188,1,3,0.10757396799999999,0.0
Copa2024,3939988,2024-07-01,Group Stage,Mario Alberto Escobar Toca,Mexico,Ecuador,57,19,1,18,0,0,20,0.937626587,454,12,17,5,0,39,344,0,0,0.0,0.0
Copa2024,3939990,2024-07-02,Group Stage,Kevin Ortega,Uruguay,United States,34,11,1,23,0,0,12,1.2715211382,352,12,15,1,0,32,218,0,0,0.0,0.0
Copa2024,3939990,2024-07-02,Group Stage,Kevin Ortega,United States,Uruguay,39,13,3,19,0,0,8,0.470996951,376,13,12,2,0,29,272,0,0,0.0,0.0
Copa2024,3939983,2024-06-29,Group Stage,Piero Maza Gomez,Paraguay,Brazil,20,8,3,25,0,2,15,0.6916759418999999,422,14,17,2,1,39,245,1,1,0.041077945,0.0
Copa2024,3939983,2024-06-29,Group Stage,Piero Maza Gomez,Brazil,Paraguay,46,17,6,19,2,0,15,2.180689849,500,15,14,3,0,29,391,1,1,0.033093035,1.567
Copa2024,3939972,2024-06-22,Group Stage,Wilmar Alexander Roldán Pérez,Ecuador,Venezuela,27,10,5,33,0,0,9,0.7355915667000001,298,16,21,2,1,47,196,0,0,0.0,0.0
Copa2024,3939972,2024-06-22,Group Stage,Wilmar Alexander Roldán Pérez,Venezuela,Ecuador,57,19,3,27,0,0,14,1.5850185390000002,550,20,18,2,0,32,411,2,0,0.0,0.0
Copa2024,3939978,2024-06-25,Group Stage,Mario Alberto Escobar Toca,Canada,Peru,41,17,1,18,0,0,5,0.909048214,405,19,14,1,0,36,282,0,0,0.0,0.0
Copa2024,3939978,2024-06-25,Group Stage,Mario Alberto Escobar Toca,Peru,Canada,26,11,3,16,0,0,9,0.5764393578,406,14,19,0,1,37,231,1,1,0.03990347,0.0
Copa2024,3939976,2024-06-25,Group Stage,César Arturo Ramos Palazuelos,Brazil,Costa Rica,106,33,5,7,0,0,20,1.6211921360000001,748,15,13,1,0,32,787,3,0,0.0,0.0
Copa2024,3939976,2024-06-25,Group Stage,César Arturo Ramos Palazuelos,Costa Rica,Brazil,2,1,1,43,0,0,2,0.036730567000000006,262,12,15,2,0,28,47,1,0,0.0,0.0
Copa2024,3939992,2024-07-03,Group Stage,Yael Falcón Pérez,Paraguay,Costa Rica,27,14,7,7,0,0,17,1.4400627040000002,569,13,17,3,0,27,481,2,1,0.07270941,0.0
Copa2024,3939992,2024-07-03,Group Stage,Yael Falcón Pérez,Costa Rica,Paraguay,8,4,2,27,0,0,2,0.27205455,304,15,14,3,0,33,79,0,0,0.0,0.0
Copa2024,3942416,2024-07-06,Quarter-finals,Maurizio Mariani,Colombia,Panama,28,13,6,21,2,0,5,0.6134045039999999,412,23,15,1,0,30,197,0,0,0.0,1.567
Copa2024,3942416,2024-07-06,Quarter-finals,Maurizio Mariani,Panama,Colombia,25,11,6,15,0,2,14,0.609951584,370,15,23,3,0,28,270,0,2,0.09988529,0.0
Copa2024,3943077,2024-07-15,Final,Raphael Claus,Colombia,Argentina,53,20,4,21,0,0,19,0.9722537355999998,660,11,20,2,0,49,399,1,1,0.039566465,0.0
Copa2024,3943077,2024-07-15,Final,Raphael Claus,Argentina,Colombia,50,18,3,28,0,0,11,1.0827015698,537,19,11,2,0,36,287,0,0,0.0,0.0
Copa2024,3943076,2024-07-14,3rd Place Final,Alexis Herrera,Uruguay,Canada,48,17,5,29,0,0,12,1.516426863,364,19,19,2,0,24,190,3,2,0.091209977,0.0
Copa2024,3943076,2024-07-14,3rd Place Final,Alexis Herrera,Canada,Uruguay,59,18,4,23,0,0,14,2.2878095280000004,379,19,19,3,0,33,314,2,0,0.0,0.0
Copa2024,3942852,2024-07-11,Semi-finals,César Arturo Ramos Palazuelos,Uruguay,Colombia,60,21,3,12,0,0,11,0.754563564,457,16,14,3,0,39,412,0,0,0.0,0.0
Copa2024,3942852,2024-07-11,Semi-finals,César Arturo Ramos Palazuelos,Colombia,Uruguay,35,12,4,18,0,0,11,1.171960657,302,13,16,5,1,34,237,2,0,0.0,0.0
Copa2024,3942785,2024-07-10,Semi-finals,Piero Maza Gomez,Canada,Argentina,42,15,1,7,0,0,9,0.7175667499999999,477,6,16,3,0,18,276,0,0,0.0,0.0
Copa2024,3942785,2024-07-10,Semi-finals,Piero Maza Gomez,Argentina,Canada,31,11,0,12,0,0,11,1.7541940644,506,16,6,1,0,19,170,0,0,0.0,0.0
Copa2024,3942415,2024-07-07,Quarter-finals,Darío Herrera,Uruguay,Brazil,17,7,2,18,0,0,12,0.6298363020000001,282,15,29,2,1,40,201,0,1,0.025268784,0.0
Copa2024,3942415,2024-07-07,Quarter-finals,Darío Herrera,Brazil,Uruguay,17,7,4,20,0,0,7,0.6758747529999999,426,27,16,2,0,35,209,0,3,0.11792158600000001,0.0
